Location,Sq_Ft,Bedrooms,Bathrooms,Year_Built,Garage,Price
Gumanpura,2770,5,3,2014,Yes,3187524
Gumanpura,2726,3,1,2019,No,3106586
Dada bari,3058,5,2,2016,Yes,3798895
Keshav Pura,3416,2,3,2009,No,2893558
Nayapura,1581,2,3,2004,Yes,2792071
Keshav Pura,1101,3,2,2012,No,2462977
Gumanpura,1439,3,1,1996,Yes,2823410
Dada bari,2173,1,3,1997,Yes,3497484
Vigyan Nagar,2893,2,1,1981,Yes,3445800
Vigyan Nagar,1372,4,3,1999,No,2992447
Gumanpura,974,1,2,2012,No,2687880
Gumanpura,2148,2,1,1990,No,2782086
Nayapura,2001,3,3,1996,Yes,2959984
Dada bari,1134,2,1,2001,No,3140236
Gumanpura,2734,5,1,1991,Yes,3156009
Nayapura,2149,3,1,2007,No,2772345
Dada bari,2945,5,1,2002,Yes,3574193
Nayapura,3384,5,2,1981,Yes,3005928
Keshav Pura,2489,1,1,1996,No,2529637
Keshav Pura,3327,2,2,2001,Yes,2878471
Keshav Pura,1584,2,2,1985,No,2512696
Keshav Pura,2054,5,1,1986,Yes,2669681
Keshav Pura,2066,5,2,2023,Yes,2823227
Vigyan Nagar,3135,4,1,2000,No,3227723
Nayapura,2007,4,3,2003,No,2673829
Keshav Pura,1291,2,1,1982,Yes,2552219
Nayapura,1287,3,2,2014,Yes,2781326
Nayapura,2444,2,2,1986,Yes,2896597
Vigyan Nagar,2676,3,1,1993,No,3193376
Dada bari,2562,3,1,2009,No,3394195
Dada bari,1914,4,1,2011,Yes,3437897
Dada bari,2857,3,1,1992,Yes,3645398
Nayapura,3267,4,2,2004,No,2935229
Dada bari,2384,2,3,2005,Yes,3460107
Nayapura,1560,4,2,1989,Yes,2839932
Nayapura,1203,4,1,2016,No,2720354
Vigyan Nagar,1453,5,3,1984,No,3016700
Gumanpura,2998,5,2,1989,Yes,3161888
Keshav Pura,3134,4,1,2012,Yes,3013700
Dada bari,2279,5,3,2004,No,3454713
Keshav Pura,1841,5,2,1993,No,2639096
Vigyan Nagar,3474,1,3,2011,Yes,3532951
Gumanpura,2045,2,1,1996,No,2938123
Nayapura,1926,1,2,1983,Yes,2787389
Vigyan Nagar,1158,2,1,1986,No,2932358
Dada bari,1731,2,3,2019,No,3486041
Nayapura,1221,1,1,1984,No,2540488
Keshav Pura,1842,1,2,1981,Yes,2664058
Vigyan Nagar,1603,2,2,1992,No,3105036
Gumanpura,2312,1,3,2013,Yes,3005820
Keshav Pura,3373,1,1,1994,Yes,2759155
Nayapura,2274,3,3,1997,No,2759246
Nayapura,2705,2,3,1999,No,2891235
Dada bari,1046,5,3,1987,No,3311430
Vigyan Nagar,3339,2,1,2000,Yes,3457230
Gumanpura,2631,2,2,2013,No,3068394
Keshav Pura,1665,3,1,1995,No,2545897
Gumanpura,3311,4,1,1996,Yes,3215958
Vigyan Nagar,1635,3,3,2009,Yes,3213072
Gumanpura,1918,1,3,1999,Yes,2913367
Keshav Pura,2043,3,3,2019,Yes,2843968
Keshav Pura,2382,1,1,2019,No,2825142
Gumanpura,1166,3,3,1992,No,2743667
Gumanpura,1803,1,2,1998,Yes,2811496
Gumanpura,2986,1,2,1985,Yes,3112235
Gumanpura,1150,4,1,1981,Yes,2884147
Keshav Pura,1267,3,3,2013,Yes,2692064
Vigyan Nagar,2307,5,3,1984,Yes,3311818
Keshav Pura,3409,4,1,2019,No,2992978
Dada bari,2027,4,1,1991,No,3278604
Dada bari,2339,2,3,2015,No,3470209
Gumanpura,1460,4,2,2020,No,2965158
Vigyan Nagar,2227,2,2,2012,Yes,3413843
Nayapura,2940,2,3,2005,No,2825014
Keshav Pura,3291,4,1,1992,No,2718362
Dada bari,3314,1,2,1992,No,3542867
Dada bari,3304,5,3,2014,No,3590162
Keshav Pura,2232,4,3,1995,No,2553290
Nayapura,2565,2,3,1986,No,2929996
Keshav Pura,3357,1,2,2004,No,2665715
Nayapura,2241,5,2,2012,No,2948764
Gumanpura,1114,1,1,2004,Yes,2707796
Vigyan Nagar,3212,5,2,2014,No,3519744
Dada bari,3185,4,1,2010,Yes,3760457
Nayapura,1119,3,1,1996,Yes,2757759
Keshav Pura,1064,2,3,2005,No,2527527
Keshav Pura,2781,1,2,1987,No,2703066
Vigyan Nagar,2571,2,2,2017,No,3339738
Vigyan Nagar,2074,3,2,1989,Yes,3171602
Nayapura,2806,4,1,2012,No,3032976
Vigyan Nagar,2662,3,1,1999,Yes,3263182
Dada bari,2498,4,2,2001,Yes,3609778
Vigyan Nagar,2927,1,3,2022,Yes,3518694
Vigyan Nagar,2720,5,3,2018,No,3417409
Gumanpura,2339,2,1,2016,No,3054381
Nayapura,1350,4,2,1987,Yes,2844030
Dada bari,2195,3,2,2001,No,3324171
Vigyan Nagar,1945,2,2,1992,Yes,3182721
Vigyan Nagar,2478,5,2,1982,Yes,3248604
Dada bari,3300,1,2,1987,No,3585868
Keshav Pura,1442,1,2,2008,Yes,2504474
Gumanpura,2014,1,2,2019,Yes,3159765
Gumanpura,3016,1,1,1988,Yes,3101256
Gumanpura,1344,4,2,2007,Yes,2935181
Gumanpura,3094,4,1,2011,No,3055929
Keshav Pura,3282,5,3,1992,Yes,2884825
Keshav Pura,2007,4,1,1998,No,2652325
Keshav Pura,1362,5,2,2013,Yes,2612523
Keshav Pura,3164,5,3,2016,No,2885947
Vigyan Nagar,1628,1,2,2017,Yes,3380165
Dada bari,3357,1,2,1985,Yes,3642313
Dada bari,1932,2,1,2011,No,3357696
Dada bari,3301,2,2,2006,No,3570862
Gumanpura,2429,1,3,1994,Yes,2999299
Gumanpura,2685,2,2,1989,Yes,2971174
Nayapura,2081,4,3,2002,No,2835521
Dada bari,2367,1,2,2021,Yes,3588954
Keshav Pura,3446,3,3,2014,Yes,2975639
Vigyan Nagar,1733,1,1,2018,Yes,3355842
Keshav Pura,2037,5,3,1985,Yes,2636485
Gumanpura,2895,4,2,2001,Yes,3015672
Vigyan Nagar,3168,1,2,1985,Yes,3476998
Gumanpura,3245,2,2,2020,Yes,3257045
Vigyan Nagar,2203,2,1,1987,Yes,3264984
Vigyan Nagar,3281,4,1,1981,No,3296927
Nayapura,2914,5,2,2020,Yes,3135088
Dada bari,1307,4,2,2019,Yes,3590282
Keshav Pura,1691,2,2,2002,No,2565687
